"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c"
132,551.1639,2.331142,NA,NA,0,NA,8713736.02941952,8265638.32793477,8675307.78022828,8913015.43462467,8564847.92847594,6712676.58719266
133,308.2234,2.599353,NA,NA,3.95031691091175,NA,159807.328129835,157196.953831713,142297.673989221,9307953.18543977,9004223.89008148,8005188.06766393
134,298.9431,1.856444,NA,NA,1.54375546483843,NA,7364452.69275026,7705395.05816429,7663455.41074822,9114785.11552332,8103735.77015716,8393858.26253726
135,200.9451,13.79801,NA,NA,2.1631001611411,NA,5106588.37703122,5219726.0962681,4403965.52336555,9117245.98892475,8345687.16439661,7664637.55425668
136,209.1547,4.01082,"C13H22O2","Linalyl propionate",0,NA,7733477.51698134,8125011.21862505,7377368.07872072,8184731.39739392,8133345.98286992,7500352.31958609
137,211.1341,2.47387,"C12H20O3","Cucurbic acid",2.32273076039574,NA,6521482.19297284,5956728.00825463,6740384.18032306,8769835.52487187,8597252.68326456,8656428.51835501
138,341.2892,2.478572,NA,NA,2.36187030797434,NA,9647518.6178744,8850469.44595657,8877925.55164379,5443770.54215016,5302321.29226049,4982546.0672996
139,187.117,2.489525,NA,NA,4.09942533364026,NA,125755.546623843,126423.909091211,140180.798358642,8687309.46767604,8508787.86897519,7818139.77607169
140,313.25795,2.487936,NA,NA,3.31574726225728,NA,70752.7148944149,112512.690960015,120043.223958737,8476207.54438994,8388196.0912691,8269567.49504292
141,297.0473,2.536517,NA,NA,0,NA,5852743.57457006,7867895.81604041,9490651.69066958,164911.997220067,811154.425086824,3021080.02061404
142,265.075,4.018698,NA,NA,1.44979611492891,NA,8736414.83620598,8297206.1819278,6765887.29100277,5009327.18879999,5153139.50043636,4565527.64305172
143,314.2208,3.816542,NA,NA,0,NA,8722867.43017182,8607636.37996128,8900441.59192675,7999158.65108042,7797067.78951064,7927867.63703436
144,269.2488,2.287489,"C17H34O2","Heptadecanoic acid",2.21608927778466,NA,8194514.19204274,7616820.11906095,8591656.51355357,4756011.74841035,4954137.19545447,4394552.6583478
145,159.0847,2.725,"C8H16OS","2-Methyl-4-propyl-1,3-oxathiane",1.32899386946359,NA,9494342.0119326,8406354.35451509,8686688.78435123,6404547.02472145,6359010.3268428,5345734.09533083
146,310.2391,2.65952,NA,NA,3.67790480713345,NA,600750.518739268,503869.942506348,598545.088795026,7950729.04407102,8011976.58495022,7628004.5064309
147,386.2552,2.593095,NA,NA,3.30402826762266,NA,35066.8243152692,68230.5453299237,51372.0820848417,7778759.77700217,7817461.98001874,7562158.05789223
148,281.2682,2.480139,NA,NA,2.60364370735709,NA,9176580.05260474,7856076.48784655,8266112.37478674,3739714.90965668,3508162.67868722,3481225.63030371
149,427.9714,1.948697,NA,NA,2.38468134338852,NA,7454837.71012928,7491969.15648657,7242739.39774531,7545675.00515686,7718630.85249173,7894642.72197214
150,131.0349,11.66923,"C5H8O4","Monoethyl malonic acid",3.30643132486633,NA,4094467.92419081,3914781.79034343,4136698.06439416,7753063.68032211,7695617.20672317,7462010.339398
152,300.2051,3.835562,NA,NA,0,NA,8030822.60642558,7524901.89058324,7677070.06988596,7624236.00393029,6977004.18430847,7211832.76279532
153,673.0722,1.836028,NA,NA,0,NA,8034217.16282868,7659764.93782663,8118154.88933322,7166259.83330877,7557335.79183056,7874851.80595851
154,333.1193,4.009242,"C15H18N4O5","Mitomycin",3.51249397378196,NA,7189892.80300723,8676678.41764663,6590201.90356513,413652.693032985,426827.518890465,401767.468069208
155,370.2601,2.594934,NA,NA,3.52231452911496,NA,164366.974660263,191258.826118353,231541.055540229,7541232.07945768,7302867.15749844,6762570.40516015
156,434.2663,2.475439,NA,NA,0,NA,4000565.07209574,3020730.86063413,3826889.22747254,7333791.89763984,4258324.58458624,2891446.40649722
157,157.994,13.45346,NA,NA,3.91520930859209,NA,8333878.12343768,8454087.36830232,8391773.1967891,1494047.74866142,1699671.39971755,1636765.00506223
158,142.9751,13.45706,NA,NA,2.55843053736368,NA,6307325.74938898,7690990.46032788,8487767.18016257,2247529.98493054,2242579.42312261,2057334.62190128
159,314.87705,13.74434,NA,NA,2.8082137524178,NA,777745.0450932,689484.300287323,550969.234147538,7375178.44682127,6311660.59187321,5166310.79522987
