"id","formula","degree","parent","score","parent_formula"
103,"C-2H5N-2O7P-1S2 Illegal_formula",12,5369,0,"C8H17N3O13S2"
103,"CH6O-1S3 Illegal_formula",8,444,0,"C3H8S3"
104,"CH6O-1S3 Illegal_formula",8,444,0,"C3H8S3"
105,"H3O4P",5,294,0.997149857865761,"C2H7O4P"
105,"H3O4P",7,2297,0.996006083512893,"C6H13O9P"
105,"C-2H6N-2O7S Illegal_formula",12,5370,0,"C8H18N3O13PS"
106,"C5H6S",4,200,0.997684280710789,"C5H6OS"
106,"C5H6S",5,118,0.997106639174043,"C5H8S"
106,"C5H6S",8,48,0.995564934025116,"C4H4S"
107,"C5H6O2",1,1,0.999434331717171,"C3H2O2"
107,"C6H10O-3S2 Illegal_formula",7,946,0,"C6H10S3"
108,"C4H6N2O",4,203,0.997726547767091,"C4H6N2O2"
109,"C6H10O",4,205,0.997748943044965,"C6H10O2"
110,"C5H10N2",5,3,0.997162165504608,"C3H6N2"
110,"C5H10N2",6,951,0.996522675729449,"C5H10N2O3S"
111,"C7H14",5,481,0.997175722136119,"C8H14O2"
112,"C4H5NS",5,123,0.997114322241704,"C4H7NS"
112,"C4H5NS",8,48,0.995566697235719,"C4H4S"
113,"C4H5NO2",2,49,0.998868982755783,"C4H4O2"
114,"C5H9NO",4,210,0.997727139844861,"C5H9NO2"
114,"C6H13NO-4S2 Illegal_formula",11,2327,0,"C12H23NOS2"
115,"C6H13N",5,488,0.997184791210896,"C7H13NO2"
116,"CH12N2O-5S4 Illegal_formula",16,5039,0,"C12H29N3O4S4"
116,"C8H4O-2S Illegal_formula",19,5039,0,"C19H21NO7S"
116,"C8H4O-2S Illegal_formula",11,5039,0,"C19H21NO7S"
117,"C4H4O3",2,49,0.998869277343288,"C4H4O2"
117,"C5H8O-2S2 Illegal_formula",10,492,0,"C6H8S2"
117,"C5H8O-2S2 Illegal_formula",7,492,0,"C6H8S2"
118,"C5H8S",4,57,0.997677782602507,"C4H6S"
118,"C4H4O5S-1 Illegal_formula",3,361,0,"C4H4O5"
119,"C5H8O2",2,6,0.998868098555527,"C3H4O2"
119,"C6H12O-3S2 Illegal_formula",8,979,0,"C6H12S3"
120,"C4H8N2O",5,218,0.99717012550664,"C4H8N2O2"
121,"C6H12O",4,500,0.997754186779421,"C7H12O3"
121,"C6H12O",5,220,0.997166012896603,"C6H12O2"
122,"C7H16",6,502,0.996623940125798,"C8H16O2"
123,"C4H7NS",4,57,0.997682511998053,"C4H6S"
123,"C4H7NS",12,5055,0.000508666212355341,"C15H24N2O9S"
123,"C5H11NO-5S3 Illegal_formula",15,5055,0,"C16H28N2O4S3"
123,"C12H3N-1O-2 Illegal_formula",16,5055,0,"C23H20O7"
123,"C12H3N-1O-2 Illegal_formula",14,5055,0,"C23H20O7"
123,"C12H3N-1O-2 Illegal_formula",12,5055,0,"C23H20O7"
124,"C4H7NO2",3,58,0.998307484392193,"C4H6O2"
125,"C5H11NO",5,227,0.997170730748437,"C5H11NO2"
