"node1","node2","linktype","mass_dif","edge_massdif_score"
7992,8184,12,-2.80000485020082e-08,0.99942989834009
7995,8190,12,7.19999171394647e-08,0.999444612339919
7996,8191,12,7.20000308263025e-08,0.999444612356543
7997,8192,12,-2.80000485020082e-08,0.99942989834009
8001,8195,12,7.19999171394647e-08,0.999444612339919
8002,8196,12,7.20000308263025e-08,0.999444612356543
8005,8204,12,7.20000308263025e-08,0.999444612356543
8006,8205,12,-2.80000485020082e-08,0.99942989834009
8007,8206,12,-2.79999348151705e-08,0.999429898356921
8008,8207,12,-2.80000485020082e-08,0.99942989834009
8009,8209,12,-2.79999348151705e-08,0.999429898356921
8010,8210,12,-2.80000485020082e-08,0.99942989834009
8013,8212,12,-2.80000485020082e-08,0.99942989834009
8014,8213,12,-2.80000485020082e-08,0.99942989834009
8018,8220,12,-2.79999348151705e-08,0.999429898356921
8019,8221,12,-2.80000485020082e-08,0.99942989834009
8020,8222,12,-2.79999348151705e-08,0.999429898356921
8021,8223,12,-2.79999348151705e-08,0.999429898356921
8022,8224,12,-2.80000485020082e-08,0.99942989834009
8023,8226,12,-2.79999348151705e-08,0.999429898356921
8024,8227,12,7.20000308263025e-08,0.999444612356543
8026,8229,12,7.20000308263025e-08,0.999444612356543
8028,8230,12,-2.79999348151705e-08,0.999429898356921
8037,8234,12,4.72000007079032e-07,0.999501642730899
8038,8237,12,-2.80000485020082e-08,0.99942989834009
8039,8238,12,-2.80000485020082e-08,0.99942989834009
8042,8245,12,-2.79999348151705e-08,0.999429898356921
8054,8254,12,-2.79999348151705e-08,0.999429898356921
8055,8255,12,-2.80000485020082e-08,0.99942989834009
8056,8256,12,-2.79999348151705e-08,0.999429898356921
8058,8257,12,-2.79999348151705e-08,0.999429898356921
8059,8258,12,-2.80000485020082e-08,0.99942989834009
8061,8263,12,-5.27999990396211e-07,0.999353590267895
8062,8264,12,-2.80000485020082e-08,0.99942989834009
8070,8272,12,-2.80000485020082e-08,0.99942989834009
8071,8273,12,4.72000007079032e-07,0.999501642730899
8072,8274,12,7.20000308263025e-08,0.999444612356543
8074,8277,12,-2.79999348151705e-08,0.999429898356921
8075,8278,12,-2.80000485020082e-08,0.99942989834009
8076,8279,12,-2.79999348151705e-08,0.999429898356921
8083,8289,12,7.19999171394647e-08,0.999444612339919
8084,8291,12,-2.80000485020082e-08,0.99942989834009
8088,8294,12,7.19999171394647e-08,0.999444612339919
8089,8295,12,7.20000308263025e-08,0.999444612356543
8090,8296,12,7.20000308263025e-08,0.999444612356543
8091,8298,12,7.20000308263025e-08,0.999444612356543
8096,8303,12,4.72000007079032e-07,0.999501642730899
8097,8304,12,-2.80000485020082e-08,0.99942989834009
8098,8307,12,-2.80000485020082e-08,0.99942989834009
8101,8310,12,-2.80000485020082e-08,0.99942989834009
8102,8311,12,-2.80000485020082e-08,0.99942989834009
8103,8312,12,-2.80000485020082e-08,0.99942989834009
8108,8316,12,-2.79999348151705e-08,0.999429898356921
8109,8318,12,-2.79999348151705e-08,0.999429898356921
8110,8319,12,7.20000308263025e-08,0.999444612356543
8112,8322,12,7.20000308263025e-08,0.999444612356543
8113,8323,12,-2.79999348151705e-08,0.999429898356921
8114,8325,12,-2.80000485020082e-08,0.99942989834009
8119,8328,12,-2.80000485020082e-08,0.99942989834009
8123,8329,12,7.20000308263025e-08,0.999444612356543
8124,8330,12,-2.80000485020082e-08,0.99942989834009
8125,8332,12,7.19999171394647e-08,0.999444612339919
8126,8333,12,-2.79999348151705e-08,0.999429898356921
8130,8334,12,-2.79999348151705e-08,0.999429898356921
8132,8336,12,-2.79999348151705e-08,0.999429898356921
8134,8337,12,7.20000308263025e-08,0.999444612356543
8136,8339,12,-2.80000485020082e-08,0.99942989834009
8142,8343,12,-2.80000485020082e-08,0.99942989834009
8143,8344,12,-2.80000485020082e-08,0.99942989834009
8145,8345,12,-2.79999348151705e-08,0.999429898356921
8146,8346,12,-2.79999348151705e-08,0.999429898356921
8149,8347,12,-2.80000485020082e-08,0.99942989834009
8156,8350,12,7.20000308263025e-08,0.999444612356543
8157,8351,12,7.20000308263025e-08,0.999444612356543
8158,8352,12,7.19999171394647e-08,0.999444612339919
8159,8353,12,-2.80000485020082e-08,0.99942989834009
8162,8355,12,-2.79999348151705e-08,0.999429898356921
8166,8362,12,7.20000308263025e-08,0.999444612356543
8170,8366,12,7.19999171394647e-08,0.999444612339919
8175,8370,12,-2.80000485020082e-08,0.99942989834009
8182,8376,12,-2.80000485020082e-08,0.99942989834009
8183,8377,12,-2.80000485020082e-08,0.99942989834009
8188,8385,12,-2.79999348151705e-08,0.999429898356921
8189,8386,12,-2.80000485020082e-08,0.99942989834009
8192,8388,12,7.20000308263025e-08,0.999444612356543
8195,8391,12,-2.79999348151705e-08,0.999429898356921
8196,8392,12,-2.80000485020082e-08,0.99942989834009
8204,8396,12,-2.80000485020082e-08,0.99942989834009
8205,8398,12,7.20000308263025e-08,0.999444612356543
8208,8399,12,-2.80000485020082e-08,0.99942989834009
8212,8403,12,7.20000308263025e-08,0.999444612356543
8213,8404,12,7.20000308263025e-08,0.999444612356543
8220,8408,12,-2.80000485020082e-08,0.99942989834009
8221,8409,12,-2.79999348151705e-08,0.999429898356921
8222,8410,12,-5.27999990396211e-07,0.999353590267895
8223,8411,12,-2.80000485020082e-08,0.99942989834009
8225,8412,12,-2.79999348151705e-08,0.999429898356921
8226,8413,12,-2.80000485020082e-08,0.99942989834009
8229,8417,12,-2.79999348151705e-08,0.999429898356921
8230,8419,12,-2.80000485020082e-08,0.99942989834009
8234,8425,12,-2.79999348151705e-08,0.999429898356921
8235,8427,12,-2.80000485020082e-08,0.99942989834009
8236,8428,12,-2.80000485020082e-08,0.99942989834009
8238,8430,12,7.20000308263025e-08,0.999444612356543
8244,8431,12,-5.27999990396211e-07,0.999353590267895
8245,8432,12,-2.80000485020082e-08,0.99942989834009
8246,8433,12,-2.80000485020082e-08,0.99942989834009
8251,8435,12,7.20000308263025e-08,0.999444612356543
8253,8436,12,-2.79999348151705e-08,0.999429898356921
8254,8437,12,7.19999171394647e-08,0.999444612339919
8255,8438,12,-4.28000024754738e-07,0.999369216925261
8256,8439,12,-2.80000485020082e-08,0.99942989834009
8257,8441,12,-2.80000485020082e-08,0.99942989834009
8258,8442,12,-2.79999348151705e-08,0.999429898356921
8262,8444,12,7.19999171394647e-08,0.999444612339919
8263,8445,12,7.19999171394647e-08,0.999444612339919
8264,8446,12,7.20000308263025e-08,0.999444612356543
8269,8448,12,-2.80000485020082e-08,0.99942989834009
8272,8449,12,-2.80000485020082e-08,0.99942989834009
8273,8450,12,-2.80000485020082e-08,0.99942989834009
8274,8451,12,-2.80000485020082e-08,0.99942989834009
8275,8455,12,-5.27999990396211e-07,0.999353590267895
8277,8456,12,-2.80000485020082e-08,0.99942989834009
8278,8457,12,-2.80000485020082e-08,0.99942989834009
8282,8462,12,7.20000308263025e-08,0.999444612356543
8283,8463,12,7.20000308263025e-08,0.999444612356543
8284,8464,12,-2.79999348151705e-08,0.999429898356921
8289,8468,12,-2.79999348151705e-08,0.999429898356921
8291,8470,12,7.20000308263025e-08,0.999444612356543
8292,8472,12,7.20000308263025e-08,0.999444612356543
8294,8473,12,-2.79999348151705e-08,0.999429898356921
8295,8474,12,-2.80000485020082e-08,0.99942989834009
8297,8475,12,4.72000007079032e-07,0.999501642730899
8298,8476,12,-2.80000485020082e-08,0.99942989834009
8303,8486,12,7.20000308263025e-08,0.999444612356543
8304,8487,12,-2.80000485020082e-08,0.99942989834009
8307,8488,12,-2.79999348151705e-08,0.999429898356921
8309,8490,12,-2.80000485020082e-08,0.99942989834009
8310,8491,12,7.20000308263025e-08,0.999444612356543
8311,8492,12,7.20000308263025e-08,0.999444612356543
8312,8493,12,7.20000308263025e-08,0.999444612356543
8316,8499,12,-2.80000485020082e-08,0.99942989834009
8318,8500,12,-1.28000014143481e-07,0.999415001792256
8319,8501,12,-2.80000485020082e-08,0.99942989834009
8321,8502,12,-2.79999348151705e-08,0.999429898356921
8322,8503,12,-2.80000485020082e-08,0.99942989834009
8323,8504,12,-2.80000485020082e-08,0.99942989834009
8325,8505,12,-2.79999348151705e-08,0.999429898356921
8328,8509,12,-2.79999348151705e-08,0.999429898356921
8329,8510,12,-2.80000485020082e-08,0.99942989834009
8330,8511,12,-2.79999348151705e-08,0.999429898356921
8331,8512,12,7.20000308263025e-08,0.999444612356543
8332,8513,12,-2.79999348151705e-08,0.999429898356921
8333,8514,12,7.19999171394647e-08,0.999444612339919
8335,8516,12,-2.79999348151705e-08,0.999429898356921
8336,8517,12,-2.80000485020082e-08,0.99942989834009
8337,8518,12,-2.80000485020082e-08,0.99942989834009
8342,8520,12,-2.80000485020082e-08,0.99942989834009
8343,8521,12,-2.79999348151705e-08,0.999429898356921
8345,8525,12,7.19999171394647e-08,0.999444612339919
8346,8526,12,-2.80000485020082e-08,0.99942989834009
8347,8529,12,7.20000308263025e-08,0.999444612356543
8349,8532,12,-2.80000485020082e-08,0.99942989834009
8350,8533,12,-2.80000485020082e-08,0.99942989834009
8351,8534,12,-2.80000485020082e-08,0.99942989834009
8352,8535,12,-2.79999348151705e-08,0.999429898356921
8355,8536,12,-2.80000485020082e-08,0.99942989834009
8357,8537,12,-2.80000485020082e-08,0.99942989834009
8361,8539,12,-2.79999348151705e-08,0.999429898356921
8362,8542,12,-2.80000485020082e-08,0.99942989834009
