label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,nega-Ecoli-12C14N-a,nega-Ecoli-12C14N-b,nega-Ecoli-12C14N-c,nega-process-blank-A,nega-process-blank-A-end,nega-process-blank-B,nega-process-blank-B-end,nega-Yeast-12C14N-a,nega-Yeast-12C14N-b,nega-Yeast-12C14N-c
,0,9077,9,374.1694,2.505332,0.8485216,,,,,0,0,374.1694,49985.46,42541.16,32192.58,41430.11,42144.21,40784.15,34081.93,30039.81,45291.96,13748.62
,0,9078,3,425.0276,13.79769,0.850367,,,,,0,0,425.0276,41123.89,34948.18,65615.3,0,0,0,0,0,0,0
,0,9079,7,479.2488,2.631319,0.8501866,,,,,0,0,479.2488,48744.79,63244.59,63056.1,21605.13,32309.44,32347.22,22343.78,16876.9,13724.24,18142.02
,0,9080,10,319.2186,3.995543,0.8498505,,,,,0,0,319.2186,62065.84,54588.11,55907.06,40429.23,49336.48,50701.67,58302.91,60731.79,47515.72,56791.19
,0,9081,2,683.2428,2.352742,0.7985815,,,,,0,0,683.2428,19847.96,11253,18004.27,13837.98,15075.52,46990.09,55627.89,17335.84,34499.44,26444.55
,0,9082,10,471.3116,4.006906,0.8513393,,,,,0,0,471.3116,72343.9,67942.31,74132.04,18101.12,23160.98,29836.63,34461.39,20840.13,38711.49,40342.35
,0,9083,2,872.186,2.330743,0.8356965,,,,,0,0,872.186,18610.54,10793.68,20473.88,39314.82,51666.23,48469.02,43493.63,0,43353.28,27526.84
,0,9084,3,351.2288,2.168692,0.8497568,,,,,0,0,351.2288,0,0,0,0,2541.373,0,0,52402.51,45938.37,47706.41
,0,9085,9,549.3073,2.523179,0.8508198,,,,,0,0,549.3073,24614.14,43333.29,31547.17,24632.16,25499.1,24967.64,44444.58,21160.54,52034.82,28450.3
,0,9086,5,340.9915,14.08833,0.846097,,,,,0,0,340.9915,78424.88,71514.47,78058.1,5790.611,22881.05,3715.335,30040.58,15023.93,13475.98,2261.857
,0,9087,9,161.1183,4.0375,0.8481985,,,,,0,0,161.1183,10341.39,11880.4,14379.01,53806.83,42035.19,70436.4,59320.41,51368.04,43667.46,31131.81
,0,9088,8,182.0461,2.375275,0.8283019,,,,,0,0,182.0461,114543.6,117491.1,130787.8,43423.21,35561.14,31181.19,64696.22,43847.58,47304.67,40038.2
,0,9089,5,461.1823,2.538262,0.8413392,,,,,0,0,461.1823,24957.54,29055.32,28983.75,23691.35,22955.62,22562.8,36547.45,17571.4,13660.81,20148.19
,0,9090,10,320.0291,11.31815,0.8401313,,,,,0,0,320.0291,50193.61,41532.94,40056.72,76190.54,59770.08,69683.49,65556.82,38358.81,53054.42,49936.5
,0,9091,8,226.0112,2.714887,0.841794,,,,,0,0,226.0112,44717.03,55520.14,59125.71,22759.19,26429.26,28518.97,41956.43,1686.615,6015.408,17916.33
,0,9092,7,301.0305,2.67263,0.8495021,,,,,0,0,301.0305,36489.33,66902.57,76266.78,25311.76,38201.82,32377.99,35647.3,1765.679,4272.415,12379.89
,0,9093,5,275.0164,2.024675,0.849884,,,,,0,0,275.0164,17520.31,14543.32,11713.09,16416.84,10968.42,29019.3,26727.57,16489.89,16593.93,28987.27
,0,9094,8,572.86,13.51303,0.8396091,,,,,0,0,572.86,49092.5,58156.73,61286.36,628.0195,5980.062,781.4658,10572.9,6075.429,9632.073,7784.26
,0,9095,5,157.0506,12.78992,0.6048281,,,,,0,0,157.0506,62651.64,55044.76,52137.31,0,38319.39,60760.23,40200.36,100624.8,99906.91,80024.95
,0,9096,10,199.025,3.989833,0.8317946,,,,,0,0,199.025,49292.67,39364.57,45099.25,66271.45,35569.06,62688.56,34471.33,33810.28,40698.27,27018.65
,0,9097,10,182.0949,2.050087,0.8496918,,,,,0,0,182.0949,36211.37,27973.81,36787.99,56948.46,66703.98,29928.96,55581.9,53038.71,29704.73,49323.89
,0,9098,8,549.2478,2.400725,0.8505932,,,,,0,0,549.2478,33174.71,17567.64,39486.39,58407.17,73450.21,36644.75,40392.34,50744.8,49074.86,41508.51
,0,9099,7,697.3596,2.472372,0.8504133,,,,,0,0,697.3596,16211.38,16858.65,17109.39,56601.67,46549.75,42858.46,43906.78,90142.78,73135.22,52458.11
,0,9100,8,240.0879,3.994624,0.8308282,,,,,0,0,240.0879,53786.72,64987.31,57115.91,42974.98,40851.36,34231.89,57795.16,37161.84,37395.05,54829.61
,0,9101,3,554.3099,6.892556,0.8493515,,,,,0,0,554.3099,0,0,0,0,0,0,0,78486.38,66846.34,48540.02
,0,9102,10,235.0249,11.04762,0.829504,,,,,0,0,235.0249,23907.27,22058.44,24966.65,82511.88,40044.67,67044.46,41173.29,23944.38,24769.04,24436.95
,0,9103,4,567.0524,13.79013,0.8502546,,,,,0,0,567.0524,71380.92,66470.4,70888.77,0,0,0,0,7433.107,6134.676,14673.36
,0,9104,3,401.5286,13.49113,0.8478497,,,,,0,0,401.5286,38328.72,47611.73,45254.73,0,555.8886,0,0,0,0,1230.789
,0,9105,6,645.4522,4.00559,0.8469714,,,,,0,0,645.4522,9490.71,9622.109,16384.19,13599.11,21721.02,4298.571,29275.93,17957.26,17360.21,16357.84
,0,9106,3,451.0947,2.415152,0.8499353,,,,,0,0,451.0947,7147.5,25476.83,18003.64,23296.44,36502.09,7367.771,56374.61,8526.249,0,12388.87
,0,9107,7,263.0008,1.913817,0.8370853,,,,,0,0,263.0008,30628.92,9202.391,10993.18,21911.8,33404.59,33740.04,17030.02,42385.23,21740.69,25753.53
,0,9108,2,304.1072,6.663881,0.8400977,,,,,0,0,304.1072,29365.18,30247.38,30758.88,29213.37,14875.63,28437.75,11308.6,28783.63,25747.78,26801.54
,0,9109,7,417.1559,2.541948,0.8441285,,,,,0,0,417.1559,40091.79,42798.21,61261.8,58379.56,41025.11,27372.63,53952.58,29819.73,39328.98,55618.86
,0,9110,4,305.9957,7.356221,0.8397503,,,,,0,0,305.9957,0,0,0,31721.85,51758.69,26136.47,52538.74,0,0,0
,0,9111,2,169.0329,2.54059,0.7538141,,,,,0,0,169.0329,69103.85,54884.25,33902.75,46144.18,12746.55,50680.46,23891,40896.54,37203,20493.23
,0,9112,10,251.1324,1.942864,0.8071275,,,,,0,0,251.1324,519409,588479.1,477093.6,5024718,5380612,4732774,5208157,1404110,1225600,1285035
,0,9113,10,301.0518,4.007862,0.8269722,,,,,0,0,301.0518,4354812,3760645,3004306,5329080,1019070,4347562,904918.5,2261686,2315213,1971596
,0,9114,10,465.2493,4.015455,0.8489137,,,,,0,0,465.2493,29877.16,30460.92,31918.47,23243.56,23900.66,28677.76,26064.59,36643.28,41342.89,38495.14
,0,9115,4,78.95093,14.10972,0.8469868,,,,,0,0,78.95093,59670.93,84423.18,46839.45,999.3194,292.1487,1465.471,0,681.0958,0,0
,0,9116,8,464.2737,2.497743,0.8494077,,,,,0,0,464.2737,25559.12,11831.32,16778.14,42877.41,44481.88,45341.21,66902.76,27031.7,36007.12,24209.31
,0,9117,8,228.1605,6.886305,0.84934,,,,,0,0,228.1605,41322.56,27922.81,33302.78,64709.06,35507.18,64418.47,68029.37,44788.86,46848.32,41130.18
,0,9118,3,668.4855,2.518972,0.8398724,,,,,0,0,668.4855,0,0,0,0,0,0,0,51435.1,38437.54,35914.08
,0,9119,4,416.8433,14.00032,0.8406828,,,,,0,0,416.8433,73503.43,46649.12,30732.6,883.5104,1759.727,847.2461,6659.869,2039.22,1351.331,1669.629
,0,9120,9,323.0927,2.513725,0.8473442,,,,,0,0,323.0927,23916.4,8750.841,18486.21,47698.34,33477.25,46954.06,27693.13,37450.07,54617.95,24344.35
,0,9121,10,635.2921,2.739168,0.8478264,,,,,0,0,635.2921,41637.14,65937.62,50321.97,45210.54,57686.5,41356.16,55577.41,31731.81,52301.99,32891
,0,9122,4,123.0338,4.029813,0.7666442,,,,,0,0,123.0338,21423.85,43973.33,29775.75,11117.94,54813.54,20864.83,66849.26,5420.021,7288.667,5277.01
,0,9123,8,394.151,2.577418,0.8443828,,,,,0,0,394.151,11683.93,17092.14,20012.03,15841.67,9962.769,12550.47,8703.77,33124.95,59513.36,41254
,0,9124,8,297.0771,2.494002,0.8451124,,,,,0,0,297.0771,13090.04,17217.12,23874.76,37615.17,39579.5,48087.5,34148.57,32593.4,31457.39,42415.35
,0,9125,7,218.9863,2.454479,0.8425172,,,,,0,0,218.9863,17790.58,32695.7,34598.84,23774.27,42551.92,35727.64,47676.94,62475.89,38203.32,37245.01
,0,9126,3,625.2648,2.490209,0.836125,,,,,0,0,625.2648,7605.546,5052.9,10406.72,17820.66,7766.197,6460.967,12542.7,38691.18,42408.41,8061.531
,0,9127,6,276.9781,6.556923,0.8470991,,,,,0,0,276.9781,100395,86996.07,85720.4,73617.24,46434.33,82592.38,29732.87,85190.35,83922.52,80547.07
,0,9128,6,681.2369,9.309249,0.8464456,,,,,0,0,681.2369,22417.3,27531.95,27520.01,477.6141,0,0,0,48337.95,67383.52,69759.66
,0,9129,4,298.0218,13.78141,0.8492079,,,,,0,0,298.0218,2500.878,0,0,72179.15,7250.018,69464.07,5126.961,1799.377,849.637,0
,0,9130,4,460.3156,2.239347,0.8367558,,,,,0,0,460.3156,10303.78,20162.54,11926.96,32020.03,29090.96,18193.24,28310.83,20759.78,16448.14,23755.3
,0,9131,9,576.3992,2.3932,0.8511782,,,,,0,0,576.3992,28199.59,17439.35,19793.48,52314.52,60193.86,50189.19,53698.02,63481.84,50917.22,26747.41
,0,9132,7,322.0836,11.57568,0.8469063,,,,,0,0,322.0836,53292.87,52332.88,60663.44,34949.82,31793.71,33422.66,36459.05,48378.66,54187.52,66769.12
,0,9133,5,140.9767,13.9912,0.8461753,,,,,0,0,140.9767,55714.25,23441.52,36825.8,4011.724,3988.904,4473.893,6460,1986.598,1443.896,2244.747
,0,9134,9,461.2033,2.738173,0.8477873,,,,,0,0,461.2033,52167.23,48570.79,55264.07,43183.92,60020.06,50026.12,70248.33,47902.55,49249.3,42775.64
,0,9135,2,418.2138,1.956933,0.7779625,,,,,0,0,418.2138,12474.11,11277.32,21557.07,20566.77,15440.22,37912.98,21242.78,22987.82,11688.49,28827.26
,0,9136,7,449.2332,2.522222,0.8498552,,,,,0,0,449.2332,17670.72,18243.24,35972.16,57563.66,41312.76,55990.29,64907.08,111917.2,70609.31,86235.34
,0,9137,2,606.4103,2.319035,0.8341577,,,,,0,0,606.4103,18370.19,32627.68,15176.2,28824.58,41759.86,16963.73,13420.19,11813.93,10860.41,17373.81
,0,9138,9,321.1134,2.506222,0.8499894,,,,,0,0,321.1134,16616.94,9498.24,36233.98,42353.04,61080.07,71595.68,43234.08,37984.01,43574.2,28631.97
,0,9139,10,293.1241,1.923208,0.8531786,,,,,0,0,293.1241,96106.84,68889.92,88288.05,105631.8,101974.2,87064.54,154657.8,79578.58,59205.72,67081.02
,0,9140,4,361.2752,2.37999,0.8367354,,,,,0,0,361.2752,10987.92,8787.195,13641.28,17774.72,41297.16,51589.83,24160.5,25656.7,26459.39,10663.62
,0,9141,8,675.3386,2.501445,0.8450875,,,,,0,0,675.3386,10773.04,8494.633,9818.203,18751.83,38868.22,23794.91,41917.98,37323.51,34512.08,42613.13
,0,9142,7,713.3546,2.505274,0.8465645,,,,,0,0,713.3546,20901.56,15660.74,10111.15,24114.94,43207.2,16179.64,35226.43,40461.43,44858.38,40288.67
,0,9143,5,465.0748,2.494861,0.8485596,,,,,0,0,465.0748,17058.8,45398.8,61611.17,7145.711,7698.611,15757.33,17379.42,0,3763.432,9618.915
,0,9144,5,586.2098,7.434761,0.8300822,,,,,0,0,586.2098,77448.91,74978.82,58785.3,9698.478,1832.517,7957.162,866.5757,2245.358,2135.912,3135.635
,0,9145,5,321.0648,7.088102,0.7011488,,,,,0,0,321.0648,49772.38,50355.86,49044.95,15640.38,9384.188,19322.54,2680.574,43604.25,41060.91,41612.39
