"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-process-blank-A","nega-process-blank-A-end","nega-process-blank-B","nega-process-blank-B-end","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c"
6137,364.17,2.738177,NA,NA,0,TRUE,86225.49,69551.35,72026.95,53529.26,82057.04,41058.39,99983.06,48652,64165.58,36645.48
6138,569.2758,2.509999,"C32H42O9","Ganoderic acid F",0,TRUE,43572.2,39365.89,37541.35,69180.97,74836.77,81438.85,70866.15,72996.68,107015.4,57533.93
6139,422.2663,1.901658,NA,NA,0,TRUE,37413.59,18734.54,44011.06,58714.35,45612.93,64313.01,69669.1,63386.22,18739.96,40288.71
6141,484.4008,2.551538,NA,NA,3.10757701668869,FALSE,937,517,454,2616.874,1528,1409,389,85675.2,78496.85,81493.97
6142,259.1341,2.523154,"C16H20O3","10-Hydroxy-3-methoxy-1,3,5,7-cadinatetraen-9-one",0,TRUE,49581.93,59398.91,83750,93236.69,106531.3,96974.15,74277.7,85554.53,67354.01,82819.69
6143,631.8763,13.34537,NA,NA,1.53737742509945,FALSE,96882.74,76348.59,90925.97,1475,2348,71,424,6433.852,460,375
6144,198.0899,2.642498,NA,NA,1.81211282159045,TRUE,51986.68,45655.66,57550.07,75592.75,129137.3,71351.84,79281.63,79847.34,91379.81,85671.18
6145,435.046,2.552319,NA,NA,1.31891260249751,TRUE,63267.47,90781.03,112669.8,9194.075,57815.21,24937.7,60029.44,2066,472,11343.29
6146,405.2285,4.01924,"C23H34O6","Annoglabasin C",0,TRUE,61707.5,75542.44,63291.91,101919.2,65482.26,87476.57,81425.3,93705.6,105714.8,62737.7
6147,237.0772,2.179702,"C12H14O5","3,4,5-Trimethoxycinnamic acid",1.33936215953881,TRUE,16703.88,32028.68,32813.09,70134.27,78349.56,62224.76,57367.54,64085.86,63694.89,70358.52
6148,180.9769,13.93532,NA,NA,2.2067056365362,TRUE,68977.74,98821.15,115172.5,18413.13,49401.89,23863.67,58587.91,20629.66,23383.1,20296.59
6149,166.9961,12.79084,NA,NA,1.90995367754264,FALSE,83421.26,72692.55,78961.29,2422,821,1688,1260,108370.6,129354.6,119899
6150,235.025,2.044432,NA,NA,0,TRUE,58015.08,56389.76,40974.23,94801.99,96500.72,87654.55,73754.55,92379.12,75640.32,76300.62
6151,287.114,2.749089,NA,NA,0,TRUE,87790.05,105689.4,81950.26,93471.62,110456.8,84386.82,116295.1,85367.79,116017.6,88513.54
6152,313.27505,3.929687,"C19H38O3","3-hydroxypristanic acid",2.81482628764266,FALSE,9885.65,13833.55,10430.55,15511.79,9884.674,11694.06,12119.98,91169.27,116084.5,88942.57
6153,306.919,13.91712,NA,NA,0,TRUE,1444,11002.96,19880.21,13242.23,129649.9,20651.17,107048,36545.76,45190.56,45179.46
6154,316.1274,2.524115,NA,NA,0,TRUE,36778.02,34249.35,40715.39,33603.61,44471.05,42796.45,69232.23,50878.69,44699.43,32381.15
6155,714.1537,2.364035,NA,NA,0,TRUE,27521.52,13808.25,22056.96,34367.68,82194.58,48130.56,70903.47,36756.35,66846.13,55864.2
6156,463.9176,13.41959,NA,NA,2.62719842491926,FALSE,84516.91,87694.65,109020,2707.714,1454,1488,2096,7287.635,4441.658,3855.1
6157,240.9803,2.000168,NA,NA,1.97502202790438,TRUE,54969.68,49610.02,54287.45,118074.6,99804.05,88050.59,91627.45,82042.71,96020.44,79282.84
6158,369.3125,2.788342,NA,NA,0,TRUE,7863.844,6739.566,13313.14,102364.1,101358,89005.04,107978,11241.08,19354.35,8711.365
6159,319.1187,4.008813,"C17H20O6","Mycophenolic acid",0,TRUE,91060.62,103735.2,103117.4,99692.73,66195.23,102806.7,67342.29,82618.49,76855.18,65612.78
6161,527.0902,2.425215,NA,NA,0,TRUE,18319.15,4939.419,15787.88,25980.07,79476.9,22335.4,92233.25,6206.405,3942.189,13553.57
6162,224.9159,13.90942,NA,NA,0,TRUE,12563.5,22965.71,30575.62,17088.41,88544.31,37028.3,106677,45361.41,45757.14,43637.57
6163,356.195433333333,2.50560133333333,NA,NA,0,TRUE,36391.57,45849.45,64956.68,67313.66,60386.92,71361.97,79720.66,54473.92,56676.77,51338.5
6164,247.0723,3.942018,"C12H12N2O4","5-Hydroxyindoleacetylglycine",0,TRUE,58400.95,48822.73,54778.05,107554.9,46775.41,119345.4,43419.78,62059.33,54733.86,37144.21
