"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c"
98,609.0598,1.843897,NA,NA,0,NA,13735042.2306686,13394464.2984735,13857103.7757958,12482427.4128064,12974373.1830258,13983723.1429951
99,198.0595,2.516128,"C9H13NO2S","2-(4-Methyl-5-thiazolyl)ethyl propionate",1.68218729184918,NA,12499540.3740581,12947199.3127212,13045409.4981018,13619665.6871445,13532929.4682893,12845616.8701684
100,173.1043,16.59112,"C6H14N4O2","L-Arginine",4.85365487134953,NA,41223.6404529332,43576.6760051893,40844.6975896662,13550265.2419166,13203570.6276233,13759967.3463651
101,688.4844,2.650828,NA,NA,1.54981249810416,NA,1265.80410621405,2390.76311312648,1563.33691758959,4901.03922086802,10410.153411194,16847.7310302882
102,450.9219,13.45242,NA,NA,4.24348560253247,NA,14540941.1806223,14579409.1904006,15750403.3917747,162911.726828539,193180.912904728,173775.445028979
103,299.2594,2.428386,"C18H36O3","(R)-3-Hydroxy-Octadecanoic acid",3.1908579474962,NA,3895987.638938,3554799.10887317,4214771.84131469,12177221.881415,13202778.3353302,12091004.2003256
104,180.0594,11.65355,NA,NA,3.44129142946683,NA,6587808.12674001,6659412.29965498,6876495.31685888,12350083.930462,12408842.7693056,13049694.3264515
105,871.2252,2.270353,NA,NA,1.61319793670145,NA,13720678.1058111,13887555.0225587,14144686.8589492,10969963.1743641,11135717.0867382,10266008.7827844
106,225.0622,2.637353,"C8H10N4O4","5-Acetylamino-6-formylamino-3-methyluracil",0,NA,8175665.8185516,10234186.6733673,13789074.798659,328179.501482224,1931203.66123315,6124227.16323928
107,158.9888,13.44053,NA,NA,4.31177601063915,NA,13955369.1940954,14155073.745803,14381724.6336828,2567919.48673957,2801055.50101818,2678949.57620944
108,319.1036,2.563298,NA,NA,3.75902664816,NA,13755911.4879328,12628708.7641082,13935758.1257459,147205.91771408,201357.271555866,189055.315506249
109,171.139,4.001361,"C10H20O2","Capric acid",3.29944337959971,NA,5247092.63282098,5617950.98435543,5421243.5915596,11381949.6271858,11064635.7522431,10757743.0090836
110,196.9232,13.73336,NA,NA,3.47583764186443,NA,2488638.01546942,2164833.22027132,2411784.57035813,12378460.2807305,11754301.7399385,11939262.5481265
111,680.1921,2.306181,NA,NA,0,NA,9483696.04904973,10893353.7410726,11912062.2504962,9352098.20201536,9847567.19476051,8987446.16166516
112,339.1962,2.489536,"C22H28O3","Canrenone",3.00822475620027,NA,32331.7958794764,30416.7198932517,32758.4786488182,166357.044973233,184728.81697281,136399.177685601
113,412.8827,13.93935,NA,NA,3.1194207613829,NA,5591478.30494981,8261228.03131325,13427158.4243637,4494.65745490936,8437.90998731582,8860.31316144795
115,336.8589,13.76634,NA,NA,2.27286557623951,NA,2307423.29822537,1866175.66886464,1554293.71707834,11234716.9069359,9530860.57731857,7044524.04773307
116,178.9727,13.92101,NA,NA,2.05282614825727,NA,6567231.65546908,8963114.29021,12604905.2516842,2044611.89644454,1881987.63775087,1941490.60731022
117,254.968,13.43791,NA,NA,3.92716212533691,NA,12987535.3744842,11946235.3683142,12989036.3001097,1169188.61400002,1236879.77736508,1283107.75215771
118,339.2,1.950258,NA,NA,2.8524782564624,NA,13257448.8378979,13589248.6943709,13010519.7181338,6262890.3765276,5758039.99415425,6311709.6742289
119,199.1705,2.392184,"C12H24O2","Dodecanoic acid",0,NA,9608300.70456622,9374867.94101839,10748710.2353036,9755579.38037179,11130973.1143658,10808294.3055941
