"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-process-blank-A","nega-process-blank-A-end","nega-process-blank-B","nega-process-blank-B-end","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c"
4484,761.3622,2.335862,NA,NA,0,TRUE,32483.8883668379,22563.6152402857,85688.9065790714,82864.48,120572.9,55630.53,110205.9,44710.3056016259,85814.7256747577,15711.2575481702
4485,255.9129,13.99764,NA,NA,2.26685090331116,FALSE,196376.164613599,125833.278652407,137504.700975956,790,229,955,1014,376.499042507052,2181.12349242511,603.05496561394
4486,90.01872,11.66608,NA,NA,0,TRUE,4824.56327217131,8847.02806100078,11709.1846303548,38452.89,51436.41,36620.08,48274.97,4370.13064888283,9616.75720124747,14436.8436046011
4487,167.0441,2.644235,NA,NA,0,TRUE,76902.6710284764,131556.491085856,224708.967658923,35874.61,220476.2,59616.39,270810,1473.01815170642,6012.54626026745,39533.0100970482
4488,257.1034,2.733508,"C12H18O6","1,1'-(Tetrahydro-6a-hydroxy-2,3a,5-trimethylfuro[2,3-d]-1,3-dioxole-2,5-diyl)bis-ethanone",0,TRUE,111399.453890379,120939.026668711,109963.26650683,113511.4,123704.7,101523.7,119893.9,83090.1141639593,99941.528064854,90594.9405484323
4489,368.3617,2.246978,NA,NA,2.01847132114613,TRUE,200830.425868049,175713.668573709,161525.939070031,93801.12,64879.42,68937.28,61996.96,89918.212857485,79475.862612284,89790.51978178
4491,345.1499,2.462025,NA,NA,1.64122784850727,TRUE,77781.786818398,71198.6825106554,79768.4784471555,151683.1,161051.4,141629.1,138988.7,110176.261411253,102830.974944582,94563.78264507
4492,341.1761,2.496792,"C21H26O4","7-(4-Hydroxy-3-methoxyphenyl)-5-methoxy-1-phenyl-3-heptanone",0,TRUE,147933.41098374,121383.57397062,158186.46633429,153519.2,176130.2,135926.2,175761.4,139546.942556668,173043.931133178,166377.409265216
4494,675.0793,1.860347,NA,NA,0,TRUE,107935.207762352,102872.978442467,52681.049597068,91951.91,126511.6,100693.3,119779.3,50431.4329862564,97012.2273951784,100589.860536602
4496,434.0117,2.55826,NA,NA,0,FALSE,125717.613546132,179235.748249257,190451.616576699,12520.12,16747.12,31778.41,30797.15,2188.45793807627,2351.65625792358,31193.987465833
4497,345.2347,3.999324,NA,NA,0,TRUE,143466.455848499,126166.243690661,134886.274240367,137355.9,169105.7,110580.2,159090.1,116659.464996497,133824.315795454,140560.713868943
4498,481.4265,2.26653,NA,NA,1.58382565254291,FALSE,10671.1205685859,33963.9706635968,15750.467498744,11404.54,7557.348,13854.43,9817.385,73316.9410258885,129475.44762425,97842.2096165355
4499,427.2532,1.95598,NA,NA,0,TRUE,166088.02717037,80903.2770612172,99028.9970047354,282140.4,336403,189176.1,295244.8,101765.217838282,121824.17947322,110648.895302295
4501,780.985,1.943805,NA,NA,0,TRUE,79587.5021184199,46791.6881853431,40181.5089498963,139628.1,104241.8,94700.95,133033.1,78727.5986891406,107029.190136762,107000.851168625
4502,589.3566,1.936322,NA,NA,0,TRUE,54531.8361248025,55248.9444772159,36145.7282572887,108080.5,71715.83,88672.23,112058.4,72063.5198339626,46989.2577244295,46646.5646352152
4503,311.1139,4.002165,"C15H20O7","Nivalenol",0,TRUE,151460.481064156,183884.006999006,124897.650423739,157180.2,57896.44,126970,81560.96,103021.039097097,123774.848189728,82743.3402594568
4505,811.799,13.37021,NA,NA,2.082095563921,FALSE,164394.362262143,154154.238026551,149265.764817089,101,673,2270,1662,2042.80502382172,2314.91162889352,393.593224730261
4506,373.0106,14.0097,NA,NA,2.29242982390206,TRUE,361.452876755879,987.759160304583,1304.86382172174,1971,166372.4,1865,173397.1,30034.968361143,36649.0176209797,48891.9944974882
4507,330.2079,4.007867,"C20H29NO3","2-[Octahydro-4,7-dimethyl-1-oxocyclopenta[c]pyran-3-yl]nepetalactam",0,TRUE,52943.9392131305,62229.6845676819,66596.4218601336,172481.1,148856.5,113338.2,127205.9,63865.4409748648,91217.8255179326,127036.305092444
4509,844.8254,13.41814,NA,NA,2.92885470954892,FALSE,191906.842822617,164125.148927944,177174.083497422,276,48,439,621,731.928795530741,1525.37318973488,1818.90730339455
4510,555.1417,2.354607,NA,NA,0,TRUE,90054.478190074,72459.2725551479,76846.5730082303,131572.6,161427.2,117116.4,171133,73744.2170560505,91562.1038485447,116790.703241266
4511,119.9469,6.422118,NA,NA,0,FALSE,171634.284898615,184813.747836592,182937.449520663,81843.84,24999.09,82445.22,21722.47,165752.28357683,165004.677386389,175911.133469586
4512,786.2515,2.293775,NA,NA,0,TRUE,65214.4898371138,109841.402167304,107021.059561612,98618.95,143439.8,50710.98,121990.4,67833.9332546626,57856.7455676616,27986.5144412911
4513,735.069,1.845289,NA,NA,0,TRUE,110720.223692809,102122.448519952,137723.483143398,138425.4,130419.7,131722.4,131286.7,111146.547994765,115822.745165639,135904.622929262
4514,450.1909,6.879371,NA,NA,0,TRUE,376.513413287374,515.594691342753,2532.52320065827,90217.97,26415.38,170875.5,29462.59,21662.9304553977,2082.1956450365,1976.73428954876
4515,200.9995,9.171137,NA,NA,0,TRUE,21684.7306469294,26632.6707268356,17670.2157748566,25208.43,176743.7,18140.51,186645.5,14209.2387543077,21441.649908107,14874.6868398939
4516,208.110766666667,6.98540366666667,NA,NA,2.0803519432593,TRUE,2405.38283460162,3166.817115686,2637.99969291411,167080,187022.7,198952.4,192629.4,12138.0268319261,8228.55171168178,15734.2106580084
4517,81.03432,11.62101,"C5H6O","2-Methylfuran",2.06136521203641,FALSE,75416.6156163355,77920.3334847331,88570.9266805126,22240.34,21797.43,25185.54,25917.95,130436.764995275,144309.254363684,123054.87580654
4518,208.003,7.035596,NA,NA,0,TRUE,721.830000902365,727.177826019044,1049.3279899679,110605.8,111895,102649,112013.6,3383.38253789178,3129.2998011462,1276.25525840753
4519,152.0466,13.25623,NA,NA,0,TRUE,5040.91648546711,10637.3654813549,5950.71619599105,52579.23,84165.1,48083.5,83990.25,20454.0021065243,125977.358940589,162740.568899083
