"node1","node2","time_dif","mz_dif","correlation","mz_node1","mz_node2","log10_inten_node1","log10_inten_node2","log10_inten_ratio","category","type","mz_dif_score","time_dif_score","color","Confidence"
3959,9622,0.00574800000000009,1.0015,0.881320983336379,507.0845,508.086,4.81150383293495,4.21184167411879,-0.599662158816161,"natural_abundance","13C",0.594630013679665,0.992277713384124,5,2.46822871040017
14678,2557,-0.04,-43.9897,0.83331751945549,499.2343,543.224,5.27316812490071,4.01145049212288,1.26171763277783,"fragment","-CO2",0.99209091915979,0.64269666347286,2,2.46810510208814
13650,13187,0.01112,97.9656,0.831892158970701,198.9417,296.9073,4.42861746225857,4.31342600470944,-0.11519145754913,"adduct","H2SO4",0.666954096677514,0.968633776303766,1,2.46748003195198
15237,7311,0.0146300000000004,113.991,0.817562893980243,421.9066,535.8976,4.15266540516773,4.66483607215021,0.512170666982479,"adduct","C2HF3O2",0.704601297335649,0.945096383177041,1,2.46726057449293
7243,6511,0.00726674999999988,1.99505,0.990931202272274,523.3642,525.35925,4.61164265341357,4.78711644507554,0.175473791661968,"natural_abundance","37Cl",0.489108212141601,0.987172449987691,5,2.46721186440157
4553,7445,0.049105,1.99677,0.969082879534961,208.161133333333,210.1579,4.80792213523073,3.34089341349459,-1.46702872173615,"natural_abundance","37Cl",0.986088066411457,0.511962478620081,5,2.4671334245665
21295,676,0.00267099999999987,-17.0284,0.962590592379051,358.2604,358.2604,4.73149781031607,5.93544059642076,1.20394278610468,"fragment","-NH3",0.507189013821293,0.997116240216605,2,2.46689584641695
23373,13185,-0.0213205000000003,1.005,0.928685707306887,150.0089,150.0089,4.00755745161128,5.46902646335115,-1.46146901173986,"natural_abundance","13C",0.664357389958955,0.873461226330524,5,2.46650432359637
5159,16101,-0.0112100000000002,21.981,0.961773203593494,332.8843,332.8843,3.94705094765792,4.74150374033642,-0.794452792678496,"H_replacement","Na",0.542934039801705,0.961726953323803,3,2.466434196719
2171,1547,0.0516299999999994,97.9771,0.990663687625643,256.9473,354.9244,5.43237026737324,5.5312902283282,0.0989199609549587,"adduct","H3PO4",0.99898562421251,0.476684022329129,1,2.46633333416728
