"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","artifact","log10_inten","mean_inten","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c","annotation"
10667,307.2394,2.699272,NA,NA,3.01155252931938,FALSE,"-H2O(2.9187913000587) of 11562",4.35298997296823,22541.8716666667,1533,1605,950,43723.22,38866.28,48573.73,"artifact_307.2394_2.699272"
26191,143.1272,2.699284,NA,NA,1.93363679774151,FALSE,"13C(2.90397542124433) of 2550",4.18754887386275,15400.9983333333,407,1119,1911,28553.32,38631.86,21783.81,"artifact_143.1272_2.699284"
3179,627.286333333333,2.69960433333333,NA,NA,2.19088490723808,TRUE,"K/2(1.93373174096917) of 18367",4.71751094119033,52180.825,29548.53,35660.65,28734.59,72206.66,65111.54,81822.98,"artifact_627.286333333333_2.69960433333333"
14362,579.2652,2.699888,NA,NA,0,TRUE,"C2H4O2(2.36837750074927) of 6460",4.34952918988528,22362.955,15141.05,24100.78,21794.58,25493.41,28953.67,18694.24,"artifact_579.2652_2.699888"
18438,432.1959,2.69995,NA,NA,0,TRUE,NA,3.98518525465235,9664.6305,5717.953,16534.53,7349.938,11868.17,10712.67,5804.522,"432.1959_2.69995"
13305,388.2501,2.7004565,NA,NA,0,TRUE,NA,3.9651930903349,9229.817,3084.655,8524.235,5792.359,17292.53,15660.13,5024.993,"388.2501_2.7004565"
8892,150.9889,2.700485,"C4H8O2S2","1,4-Dithiane-2,5-diol",0,TRUE,NA,4.32292544842687,21034.1733333333,27151.12,44663.05,41803.73,1536,343,10708.14,"C4H8O2S2_1,4-Dithiane-2,5-diol_2.700485"
25940,147.0663,2.700522,"C6H12O4","Mevalonic acid",0,FALSE,NA,5.67251241124822,470448.85,275321,438960.1,438954.7,530008.4,503789.3,635659.6,"C6H12O4_Mevalonic acid_2.700522"
9221,314.096833333333,2.70068533333333,"C16H17N3O2S","(1R*,3R*,3'S*)-1,2,3,4-Tetrahydro-1-(2-thio-3-pyrrolidinyl)-beta-carboline-3-carboxylic acid",0,TRUE,"13C(2.94315901261123) of 1993",4.73293406659845,54067.2233333333,34750.69,44616.94,46525.96,72965.93,67514.15,58029.67,"C16H17N3O2S_(1R*,3R*,3'S*)-1,2,3,4-Tetrahydro-1-(2-thio-3-pyrrolidinyl)-beta-carboline-3-carboxylic acid_2.70068533333333"
7750,302.2339,2.700763,NA,NA,2.43858851674341,TRUE,NA,4.59541343160132,39392.4898333333,6982.849,12174.82,10001.86,70389.34,75208.19,61597.88,"302.2339_2.700763"
5102,357.1558,2.700845,NA,NA,1.32121766471256,TRUE,NA,5.06224735458879,115411.04,85540.84,104420.6,100995.6,140539.2,137367.7,123602.3,"357.1558_2.700845"
12718,284.1506,2.700847,"C15H19N5O","N-Monodesmethyl-rizatriptan",2.31229272037518,TRUE,"C2H4O2(2.54171051435979) of 653; -H2O(2.292560420086) of 13422; HCOOH(2.10436992988263) of 2739",3.92847009763362,8481.44983333333,2907.867,2723.335,4172.457,12821.79,14784.67,13478.58,"C15H19N5O_N-Monodesmethyl-rizatriptan_2.700847"
20092,506.3268,2.70087,"C25H50NO7P ; C32H45NO4","LysoPE(0:0/20:1(11Z)) ; Gymnodimine",0,FALSE,NA,3.69556162543015,4960.91316666667,2672.179,1618,221,6603.697,10818.63,7831.973,"C25H50NO7P ; C32H45NO4_LysoPE(0:0/20:1(11Z)) ; Gymnodimine_2.70087"
11353,323.2092,2.70095,NA,NA,1.97309919110974,FALSE,NA,4.34985715842458,22379.8493333333,616,2641.636,2068,46644.05,36429.38,45880.03,"323.2092_2.70095"
8936,484.1905,2.70101,NA,NA,0,TRUE,NA,3.92852905643913,8482.60133333333,6285.883,14329.09,5540.898,10357.42,6835.218,7547.099,"484.1905_2.70101"
1501,347.135,2.701028,NA,NA,2.06431643229834,FALSE,NA,5.37845249626758,239030.046666667,664265.7,415839.5,243538.2,27844.41,38941.03,43751.44,"347.135_2.701028"
16088,491.2863,2.701123,NA,NA,0,TRUE,"-H2O(2.94381129429655) of 13574",4.17003373410542,14792.2328333333,13867.77,21948.57,20012.31,10604.39,9661.457,12658.9,"artifact_491.2863_2.701123"
17660,393.2499,2.701123,NA,NA,0,TRUE,"18O(1.84372257224066) of 1426",3.68312052569997,4820.81566666667,2886.691,1541,3333.288,4776.762,7992.294,8394.859,"artifact_393.2499_2.701123"
7180,180.1031,2.701135,"C10H15NO2","beta-O-Methylynephrine",2.20861114665162,FALSE,"-NH3(2.65110139711417) of 15593; -H2O(2.249187920315) of 404; C2H4O2/2(1.88411118451664) of 8928",4.70552724598137,50760.6583333333,21463.91,11909.66,16900.85,79330.9,97212.63,77746,"C10H15NO2_beta-O-Methylynephrine_2.701135"
15606,302.1329,2.701408,"C18H22ClNO","Phenoxybenzamine",2.36357228719043,TRUE,"13C(2.6569743664588) of 3612",4.28239607896589,19160.0253333333,35112.18,28461.45,27872.16,6207.348,9400.6,7906.414,"C18H22ClNO_Phenoxybenzamine_2.701408"
2267,136.0166,2.70181,NA,NA,2.35421433305108,TRUE,NA,5.37357113328489,236358.45,340916.2,318296.6,371290.3,119032.4,117404.5,151210.7,"136.0166_2.70181"
