rt,mz,lg(signal),N,C,score,feature,adduct name,db_formula,id
14.04625,590.9089,4.994670794,0,6,0.944648119,Adduct,K-H,,4539
14.11125,312.9734,4.599964286,0,6,0.859242496,Adduct,K-H,,8431
14.15711,572.8984,4.544326237,0,6,0.950452089,Adduct,K-H,,8435
14.10122,410.9502,4.510073688,0,6,0.827525561,Adduct,K-H,,8765
14.09144,296.9785,4.001997231,0,6,0.919866139,Adduct,K-H,,12185
13.35973,282.9822,5.661446071,2,5,0.835440458,Adduct,K-H,,1270
13.19087,183.0176,5.261043896,2,5,0.892931706,Adduct,K-H,,2656
13.21666,280.9948,4.931407888,2,5,0.966720845,Adduct,K-H,,5393
13.36292,281.9788,6.806254639,1,5,0.994616772,Adduct,K-H,,161
13.37241,184.0017,6.551211736,1,5,0.992239087,Adduct,K-H,,274
13.36923,267.9632,5.594008111,1,5,0.971542285,Adduct,K-H,,1541
13.37556,713.8218,5.39983406,1,5,0.990860101,Adduct,K-H,,2186
13.35025,419.891,5.188269713,1,5,0.962427001,Adduct,K-H,,3223
13.35025,517.8679,5.133539632,1,5,0.978241205,Adduct,K-H,,3749
13.36608,715.8201,5.130160634,1,5,0.976424031,Adduct,K-H,,3624
13.38505,615.8449,5.099360304,1,5,0.986902796,Adduct,K-H,,3825
13.36924,617.843,4.670110006,1,5,0.9487552,Adduct,K-H,,6858
13.37874,699.8062,4.400620451,1,5,0.8470536,Adduct,K-H,,8928
13.52446,310.9691,4.916515905,2,5,0.799589268,Adduct,KH2PO4,,5179
13.36287,813.7781,4.540067199,1,5,0.930093074,Adduct,KH2PO4,,11042
13.08186,219.0025,4.580002394,1,4,0.896578043,Adduct,KNO3,,8634
8.037495,854.2485,3.485789737,3,31,0.916510765,Adduct,Na-H,,14054
11.81818,427.0857,4.132938626,0,16,0.9645201,Adduct,Na-H,,10955
14.29447,543.9653,4.218926444,5,10,0.943090187,Adduct,Na-H,,11148
12.40763,247.0224,3.367153067,0,10,0.976419458,Adduct,Na-H,,10795
12.4183,276.0716,3.368866855,5,9,0.855262211,Adduct,Na-H,,14091
14.49475,211.0705,4.053503872,2,7,0.942799196,Adduct,Na-H,,11224
11.11433,209.0544,3.742906742,2,7,0.958793516,Adduct,Na-H,,13811
12.1525,229.0328,3.631772572,0,7,0.905735949,Adduct,Na-H,,14371
8.669728,247.0198,3.675671991,5,6,0.869985881,Adduct,Na-H,,13897
11.84084,245.028,4.448596495,0,6,0.815818858,Adduct,Na-H,,8911
14.16367,496.9035,4.283192915,0,6,0.938406241,Adduct,Na-H,,10367
12.80371,166.9961,4.909306026,0,5,0.982218098,Adduct,Na-H,,5851
12.78976,248.9993,4.431461796,0,5,0.978577244,Adduct,Na-H,,10046
12.79325,251.974,3.758540596,0,5,0.947853577,Adduct,Na-H,,13082
12.92223,136.9856,3.996935914,0,4,0.924372847,Adduct,Na-H,,12623
11.50699,111.0063,3.994173192,0,3,0.86404959,Adduct,Na-H,,11083
11.59919,298.9896,4.575696031,0,6,0.918865115,Adduct,NaH2PO4,,7916
12.93618,322.0393,3.796303952,0,8,0.977275084,Adduct,NaNO3,,13589
11.16321,274.0183,4.606152942,0,7,0.989084379,Adduct,NaNO3,,8399
12.18041,292.0289,4.141440476,0,7,0.991892233,Adduct,NaNO3,,12065
9.683,256.0077,4.128217448,0,7,0.980227802,Adduct,NaNO3,,11815
10.82581,256.0076,4.08559364,0,7,0.98858843,Adduct,NaNO3,,11816
8.788822,239.9875,4.194088701,2,5,0.977448555,Adduct,NaNO3,,11879
11.04771,231.0235,5.452555031,1,5,0.972625935,Adduct,NaNO3,,1901
9.785107,231.0234,4.988638805,1,5,0.980639472,Adduct,NaNO3,,1902
13.04282,203.0286,4.431238101,1,4,0.976389153,Adduct,NaNO3,,9798
12.78976,206.9886,3.97927694,0,5,0.947271724,Adduct,NaOH,,13019
19.754,314.848,65535,0,0,0,Background,,,11252
19.50028,494.8669,65535,0,0,0,Background,,,14568
19.52961,312.0078,65535,0,0,0,Background,,,14576
19.63556,214.8594,65535,0,0,0,Background,,,14645
19.54922,488.8643,65535,0,0,0,Background,,,14663
19.74467,454.9333,65535,0,0,0,Background,,,14693
19.83745,419.9014,65535,0,0,0,Background,,,14767
19.66055,379.9452,65535,0,0,0,Background,,,14793
19.80511,402.9817,65535,0,0,0,Background,,,14874
2.266045,283.2644,8.580131843,0,0,0,Background,,,3
2.30345,255.2331,8.573924411,0,0,0,Background,,,1
13.94858,96.96966,8.39675893,0,0,0,Background,,,5
1.933833,265.148,8.391642757,0,0,0,Background,,,6
13.50207,156.9907,8.234267552,0,0,0,Background,,,7
13.74995,96.96021,8.217932658,0,0,0,Background,,,8
13.94858,194.9464,8.130881249,0,0,0,Background,,,11
2.5039,239.0599,8.00458126,0,0,0,Background,,,12
1.952583,426.9679,7.918604292,0,0,0,Background,,,14
2.269161,284.2677,7.875739821,0,0,0,Background,,,15
2.300333,256.2365,7.817677,0,0,0,Background,,,17
13.94858,176.9359,7.816170184,0,0,0,Background,,,19
