rt,mz,lg(signal),N,C,score,feature,adduct name,db_formula,ID
13.53453,345.9482,4.380570178,1,4,0.967094647,Adduct,H3PO4,,9917
13.44097,353.0159,4.235992482,2,8,0.983209277,Adduct,H3PO4,,10853
13.42457,410.0028,4.185843297,1,5,0.873845141,Adduct,H3PO4,,11071
13.42455,312.0257,4.79280398,1,5,0.993893966,Adduct,H3PO4,,6701
13.40837,186.0173,4.629704858,1,3,0.992065815,Adduct,H3PO4,,6268
13.40168,348.9499,4.390693611,0,3,0.976909625,Adduct,H3PO4,,9985
13.39516,446.9269,4.116844536,0,3,0.965157245,Adduct,H3PO4,,11077
13.39514,577.8889,4.474831536,1,5,0.977676261,Adduct,H3PO4,,9385
13.39188,498.055,3.816264979,1,8,0.907967136,Adduct,H3PO4,,12281
13.39154,521.8452,3.940915768,1,5,0.963837442,Adduct,H3PO4,,12435
13.38861,512.0703,4.912063644,1,8,0.989086653,Adduct,H3PO4,,5966
13.38537,544.9039,3.900947163,0,3,0.957349929,Adduct,H3PO4,,11674
13.38211,575.9096,4.27282651,1,5,0.9321062,Adduct,H3PO4,,9966
13.3821,514.0498,4.348070776,1,8,0.909984734,Adduct,H3PO4,,9815
13.3821,365.94,4.724179564,1,5,0.974266971,Adduct,H3PO4,,7698
13.38176,579.8869,3.955425884,1,5,0.94604287,Adduct,H3PO4,,11907
13.37882,424.9773,4.299265564,2,8,0.861527107,Adduct,H3PO4,,7792
13.37556,442.0094,4.60562985,3,10,0.967546239,Adduct,H3PO4,,8338
13.37556,400.0779,4.654815108,1,8,0.973573636,Adduct,H3PO4,,9432
13.37231,617.8242,4.13886538,1,5,0.970151066,Adduct,H3PO4,,10503
13.3723,379.9558,5.754225753,1,5,0.987240387,Adduct,H3PO4,,1210
13.3723,477.9326,4.958983985,1,5,0.959260191,Adduct,H3PO4,,5328
13.3723,197.022,4.743183229,0,5,0.985789772,Adduct,H3PO4,,7167
13.3723,171.0064,5.35506732,0,3,0.988145326,Adduct,H3PO4,,2658
13.3723,268.9835,4.831188221,0,3,0.99135664,Adduct,H3PO4,,6595
13.37225,437.9202,4.567489736,1,5,0.969304613,Adduct,H3PO4,,14345
